epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7778.62,0.83872,1.23659,0.80676,0.95781,1,0.9915,0.73037,1.05202,0.86192,0.93994,0.000660045,0.000660045,0.000660045
43,7974.1,0.80618,1.12598,0.824,0.98196,0.97143,0.9915,0.73355,1.00528,0.93092,0.93531,0.000649046,0.000649046,0.000649046
44,8111.29,0.86504,0.9019,0.89729,0.97361,0.97143,0.98208,0.72308,1.02666,0.85464,0.93827,0.000638047,0.000638047,0.000638047
45,8252.17,0.82369,0.89478,0.90533,0.97379,0.96572,0.9915,0.74485,1.03923,0.86395,0.92806,0.000627048,0.000627048,0.000627048
46,8398.33,0.88688,0.85368,0.93998,0.9647,0.998,0.995,0.73726,1.07616,0.82123,0.93716,0.000616049,0.000616049,0.000616049
47,8538.98,0.90246,0.99725,0.94853,0.9529,1,0.988,0.73768,1.09587,0.82853,0.94508,0.000605051,0.000605051,0.000605051
48,8726.05,0.93349,0.85402,0.88493,0.9403,1,0.995,0.73346,1.03068,0.87415,0.92693,0.000594052,0.000594052,0.000594052
49,8873.13,0.90678,0.94708,0.90225,0.96545,1,0.995,0.73716,1.00782,0.82445,0.9255,0.000583053,0.000583053,0.000583053
50,8999.11,0.88771,0.84185,0.89867,0.97891,0.99313,0.995,0.72027,0.99668,0.82948,0.92362,0.000572054,0.000572054,0.000572054
51,9111.13,0.85086,0.83999,0.88645,0.98206,0.98481,0.995,0.74049,1.01705,0.79648,0.9212,0.000561055,0.000561055,0.000561055
52,9220.02,0.87722,0.86934,0.92581,0.98476,0.99278,0.995,0.73367,1.01545,0.76946,0.9348,0.000550056,0.000550056,0.000550056
53,9341.74,0.88907,0.82962,0.88824,0.98277,1,0.995,0.70708,1.05014,0.7673,0.92996,0.000539057,0.000539057,0.000539057
54,9527.52,0.92812,0.84876,0.91077,0.97296,0.99562,0.995,0.70182,1.04161,0.80149,0.91606,0.000528058,0.000528058,0.000528058
55,9687.6,0.9624,0.96196,0.84003,0.96822,0.99654,0.995,0.72223,0.99664,0.77492,0.90885,0.000517059,0.000517059,0.000517059
56,9826.75,0.9653,1.05408,0.96835,0.96605,0.99408,0.995,0.73972,1.04377,0.78442,0.92878,0.00050606,0.00050606,0.00050606
57,9953.58,0.8497,0.79038,0.89412,0.97751,0.98055,0.995,0.76662,0.99055,0.75123,0.91267,0.000495062,0.000495062,0.000495062
58,10063.6,0.91959,0.79567,0.89058,0.97966,0.97853,0.995,0.75597,1.0138,0.74124,0.91429,0.000484063,0.000484063,0.000484063
